station_id,date,temperature_c
1,1,-35.600
1,2,-53.400
1,3,-55.300
1,4,-62.400
1,5,-63.700
1,6,-60.700
1,7,-59.500
1,8,-52.700
2,1,-28.000
2,2,-39.200
2,3,-53.600
2,4,-50.600
2,5,-56.400
2,6,-60.200
2,7,-60.100
2,8,-62.100
3,1,-34.800
3,2,-52.300
3,3,-54.400
3,4,-60.900
3,5,-63.000
3,6,-59.700
3,7,-58.500
3,8,-64.700
4,1,-33.400
4,2,-51.200
4,3,-53.200
4,4,-59.900
4,5,-59.200
4,6,-24.700
4,7,-38.700
4,8,-50.500
5,1,-15.700
5,2,-27.600
5,3,-31.300
5,4,-25.400
5,5,-34.300
5,6,-39.500
5,7,-42.900
5,8,-46.800
6,1,-5.300
6,2,-17.600
6,3,-27.900
6,4,-30.500
6,5,-28.600
6,6,-25.600
6,7,-24.000
6,8,-15.200
7,1,-36.100
7,2,-43.900
7,3,-57.200
7,4,-65.000
7,5,-63.900
7,6,-72.800
7,7,-67.200
7,8,-70.000
8,1,-14.400
8,2,-18.800
8,3,-33.000
8,4,-30.200
8,5,-27.200
8,6,-30.300
8,7,-32.300
8,8,-36.400
9,1,-14.900
9,2,-20.400
9,3,-35.000
9,4,-31.200
9,5,-28.600
9,6,-33.000
9,7,-36.400
9,8,-37.600
10,1,-14.900
10,2,-34.900
10,3,-33.700
10,4,-29.000
10,5,-30.800
10,6,-34.900
10,7,-34.300
10,8,-28.200
11,1,-54.300
11,2,-60.400
11,3,-67.300
11,4,-69.500
11,5,-69.500
11,6,-71.900
11,7,-66.700
11,8,-59.700
12,1,-8.000
12,2,-10.100
12,3,-13.700
12,4,-9.600
12,5,-6.200
12,6,-6.100
12,7,-9.700
12,8,-4.200
13,1,-15.900
13,2,-22.000
13,3,-26.700
13,4,-30.500
13,5,-29.500
13,6,-42.400
13,7,-44.600
13,8,-38.900
14,1,-13.800
14,2,-21.000
14,3,-23.100
14,4,-26.200
14,5,-36.700
14,6,-32.700
14,7,-21.200
14,8,-12.800
15,1,-15.000
15,2,-20.400
15,3,-33.300
15,4,-31.400
15,5,-29.500
15,6,-33.400
15,7,-36.300
15,8,-37.500
16,1,-12.500
16,2,-17.200
16,3,-18.800
16,4,-20.100
16,5,-24.100
16,6,-24.700
16,7,-25.500
16,8,-24.500
17,1,-13.400
17,2,-22.100
17,3,-24.700
17,4,-23.800
17,5,-22.400
17,6,-26.100
17,7,-30.000
17,8,-24.000
18,1,-5.900
18,2,-13.400
18,3,-19.200
18,4,-20.700
18,5,-23.500
18,6,-26.500
18,7,-28.100
18,8,-32.400
19,1,-13.400
19,2,-20.000
19,3,-21.900
19,4,-24.800
19,5,-16.800
19,6,-22.300
19,7,-30.000
19,8,-27.900
20,1,-6.800
20,2,-15.700
20,3,-18.500
20,4,-19.800
20,5,-25.600
20,6,-23.400
20,7,-23.200
20,8,-25.700
21,1,-41.500
21,2,-51.500
21,3,-60.200
21,4,-62.000
21,5,-61.700
21,6,-56.600
21,7,-62.000
21,8,-54.200
22,1,-41.500
22,2,-51.500
22,3,-60.300
22,4,-62.000
22,5,-61.700
22,6,-56.600
22,7,-62.000
22,8,-54.200
23,1,-4.900
23,2,-12.000
23,3,-18.600
23,4,-18.600
23,5,-16.500
23,6,-20.000
23,7,-16.800
23,8,-7.700
24,1,-48.000
24,2,-52.600
24,3,-51.700
24,4,-58.000
24,5,-53.000
24,6,-48.700
24,7,-43.300
24,8,-36.600
25,1,-9.200
25,2,-14.300
25,3,-20.000
25,4,-27.600
25,5,-28.200
25,6,-25.000
25,7,-29.200
25,8,-23.400
26,1,-6.200
26,2,-6.500
26,3,-9.100
26,4,-20.300
26,5,-21.900
26,6,-20.300
26,7,-26.700
26,8,-28.900
27,1,-11.300
27,2,-13.300
27,3,-19.700
27,4,-18.300
27,5,-21.400
27,6,-21.300
27,7,-27.800
27,8,-16.000
28,1,-22.500
28,2,-31.900
28,3,-40.300
28,4,-43.800
28,5,-24.100
28,6,-25.100
28,7,-27.600
28,8,-37.000
29,1,-16.900
29,2,-23.400
29,3,-29.800
29,4,-36.000
29,5,-20.200
29,6,-18.100
29,7,-18.400
29,8,-26.100
30,1,1.800
30,2,-0.200
30,3,-1.900
30,4,-1.500
30,5,-1.600
30,6,-4.500
30,7,-10.100
30,8,-5.800
31,1,-13.100
31,2,-18.500
31,3,-23.900
31,4,-29.400
31,5,-32.300
31,6,-34.000
31,7,-15.900
31,8,-14.000
32,1,-1.600
32,2,-4.100
32,3,-7.700
32,4,-13.000
32,5,-16.200
32,6,-16.100
32,7,-16.400
32,8,-14.100
33,1,-13.100
33,2,-17.500
33,3,-13.500
33,4,-14.200
33,5,-17.100
33,6,-24.800
33,7,-19.900
33,8,-2.200
34,1,0.900
34,2,-0.300
34,3,-5.200
34,4,-11.600
34,5,-9.700
34,6,-8.200
34,7,-7.500
34,8,-3.700
35,1,-4.600
35,2,-10.800
35,3,-10.400
35,4,-16.700
35,5,-17.100
35,6,-13.400
35,7,-7.100
35,8,-5.800
36,1,-13.900
36,2,-8.200
36,3,-10.300
36,4,-8.200
36,5,-6.800
36,6,-5.200
36,7,2.100
36,8,-0.600
37,1,-5.200
37,2,-5.000
37,3,-3.100
37,4,-0.800
37,5,0.200
37,6,-0.300
37,7,-0.300
37,8,0.600
38,1,0.784
38,2,0.702
38,3,-0.808
38,4,-4.913
38,5,-6.583
38,6,-7.196
38,7,-6.251
38,8,-3.986
39,1,0.479
39,2,0.542
39,3,-1.357
39,4,-4.384
39,5,-5.538
39,6,-9.000
39,7,-7.512
39,8,-4.815
40,1,3.800
40,2,6.900
40,3,7.900
40,4,10.000
40,5,12.900
40,6,13.200
40,7,13.200
40,8,12.300
41,1,20.700
41,2,21.100
41,3,9.000
41,4,10.500
41,5,5.400
41,6,23.000
41,7,20.400
41,8,13.300
42,1,23.700
42,2,21.800
42,3,20.100
42,4,17.100
42,5,12.500
42,6,12.000
42,7,11.200
42,8,11.700
43,1,15.500
43,2,12.800
43,3,12.300
43,4,11.800
43,5,13.000
43,6,13.700
43,7,15.100
43,8,17.800
44,1,24.000
44,2,24.900
44,3,23.200
44,4,15.000
44,5,12.900
44,6,11.900
44,7,9.300
44,8,8.900
45,1,11.200
45,2,16.100
45,3,23.800
45,4,14.700
45,5,8.700
45,6,13.100
45,7,14.900
45,8,19.200
46,1,24.900
46,2,21.500
46,3,18.100
46,4,22.300
46,5,23.600
46,6,27.800
46,7,26.500
46,8,27.500
47,1,27.300
47,2,27.100
47,3,26.800
47,4,26.500
47,5,25.200
47,6,24.600
47,7,23.500
47,8,24.300
48,1,20.500
48,2,20.400
48,3,22.100
48,4,20.700
48,5,20.700
48,6,22.100
48,7,24.400
48,8,25.100
49,1,26.400
49,2,26.500
49,3,25.900
49,4,26.500
49,5,26.000
49,6,26.100
49,7,25.600
49,8,25.600
50,1,26.200
50,2,27.700
50,3,26.700
50,4,25.800
50,5,25.800
50,6,27.800
50,7,27.900
50,8,27.000
51,1,26.800
51,2,23.000
51,3,23.700
51,4,23.600
51,5,23.700
51,6,22.900
51,7,21.400
51,8,23.300
52,1,25.200
52,2,23.900
52,3,22.800
52,4,25.100
52,5,27.000
52,6,28.000
52,7,26.400
52,8,28.300
53,1,23.300
53,2,23.100
53,3,25.500
53,4,26.300
53,5,26.000
53,6,26.400
53,7,26.800
53,8,25.200
54,1,26.700
54,2,26.100
54,3,26.900
54,4,26.900
54,5,26.500
54,6,26.500
54,7,26.900
54,8,27.600
55,1,27.400
55,2,27.800
55,3,28.500
55,4,27.600
55,5,27.000
55,6,27.500
55,7,27.000
55,8,28.100
56,1,25.900
56,2,24.900
56,3,26.000
56,4,25.900
56,5,25.700
56,6,21.000
56,7,25.900
56,8,25.800
57,1,26.200
57,2,26.500
57,3,25.700
57,4,26.400
57,5,25.900
57,6,26.100
57,7,26.000
57,8,25.700
58,1,28.450
58,2,28.850
58,3,28.000
58,4,28.150
58,5,27.250
58,6,27.650
58,7,27.150
58,8,28.250
